File,WaveData20240530_006.csv,
Date/Time,24-05-30/20:34,

Trace,A
Center Wavelength,1529.77,nm
Span Wavelength,10,nm
Start Wavelength,1524.77,nm
Stop Wavelength,1534.77,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.1,nm
Actual Resolution,0.101,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,501,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1524.77,nm
Stop,1534.77,nm

Wavelength(A),Level(A)
1524.770000,5.0160E-004
1524.790000,5.0830E-004
1524.810000,5.1520E-004
1524.830000,5.1840E-004
1524.850000,5.2670E-004
1524.870000,5.3460E-004
1524.890000,5.4280E-004
1524.910000,5.4790E-004
1524.930000,5.5410E-004
1524.950000,5.6530E-004
1524.970000,5.7230E-004
1524.990000,5.7640E-004
1525.010000,5.8510E-004
1525.030000,5.9280E-004
1525.050000,5.9940E-004
1525.070000,6.0470E-004
1525.090000,6.1200E-004
1525.110000,6.2070E-004
1525.130000,6.2900E-004
1525.150000,6.3640E-004
1525.170000,6.4560E-004
1525.190000,6.5740E-004
1525.210000,6.6600E-004
1525.230000,6.7280E-004
1525.250000,6.8050E-004
1525.270000,6.9160E-004
1525.290000,7.0010E-004
1525.310000,7.0420E-004
1525.330000,7.1620E-004
1525.350000,7.2530E-004
1525.370000,7.3370E-004
1525.390000,7.4160E-004
1525.410000,7.5120E-004
1525.430000,7.6620E-004
1525.450000,7.7390E-004
1525.470000,7.8150E-004
1525.490000,7.9330E-004
1525.510000,8.0590E-004
1525.530000,8.1060E-004
1525.550000,8.1900E-004
1525.570000,8.2850E-004
1525.590000,8.4090E-004
1525.610000,8.4900E-004
1525.630000,8.5760E-004
1525.650000,8.7370E-004
1525.670000,8.8490E-004
1525.690000,8.9230E-004
1525.710000,9.0080E-004
1525.730000,9.1640E-004
1525.750000,9.2710E-004
1525.770000,9.3290E-004
1525.790000,9.3990E-004
1525.810000,9.5600E-004
1525.830000,9.7070E-004
1525.850000,9.7240E-004
1525.870000,9.8500E-004
1525.890000,1.0000E-003
1525.910000,1.0130E-003
1525.930000,1.0230E-003
1525.950000,1.0330E-003
1525.970000,1.0500E-003
1525.990000,1.0650E-003
1526.010000,1.0700E-003
1526.030000,1.0830E-003
1526.050000,1.0970E-003
1526.070000,1.1100E-003
1526.090000,1.1200E-003
1526.110000,1.1290E-003
1526.130000,1.1490E-003
1526.150000,1.1620E-003
1526.170000,1.1720E-003
1526.190000,1.1840E-003
1526.210000,1.2010E-003
1526.230000,1.2130E-003
1526.250000,1.2230E-003
1526.270000,1.2340E-003
1526.290000,1.2510E-003
1526.310000,1.2640E-003
1526.330000,1.2710E-003
1526.350000,1.2860E-003
1526.370000,1.3070E-003
1526.390000,1.3180E-003
1526.410000,1.3260E-003
1526.430000,1.3430E-003
1526.450000,1.3660E-003
1526.470000,1.3750E-003
1526.490000,1.3840E-003
1526.510000,1.4000E-003
1526.530000,1.4150E-003
1526.550000,1.4220E-003
1526.570000,1.4320E-003
1526.590000,1.4460E-003
1526.610000,1.4660E-003
1526.630000,1.4760E-003
1526.650000,1.4840E-003
1526.670000,1.5100E-003
1526.690000,1.5290E-003
1526.710000,1.5330E-003
1526.730000,1.5450E-003
1526.750000,1.5640E-003
1526.770000,1.5770E-003
1526.790000,1.5860E-003
1526.810000,1.5940E-003
1526.830000,1.6120E-003
1526.850000,1.6300E-003
1526.870000,1.6410E-003
1526.890000,1.6530E-003
1526.910000,1.6730E-003
1526.930000,1.6940E-003
1526.950000,1.7050E-003
1526.970000,1.7170E-003
1526.990000,1.7380E-003
1527.010000,1.7590E-003
1527.030000,1.7600E-003
1527.050000,1.7760E-003
1527.070000,1.7930E-003
1527.090000,1.8060E-003
1527.110000,1.8150E-003
1527.130000,1.8290E-003
1527.150000,1.8600E-003
1527.170000,1.8740E-003
1527.190000,1.8750E-003
1527.210000,1.8990E-003
1527.230000,1.9200E-003
1527.250000,1.9300E-003
1527.270000,1.9380E-003
1527.290000,1.9530E-003
1527.310000,1.9750E-003
1527.330000,1.9830E-003
1527.350000,1.9860E-003
1527.370000,2.0060E-003
1527.390000,2.0250E-003
1527.410000,2.0340E-003
1527.430000,2.0440E-003
1527.450000,2.0650E-003
1527.470000,2.0860E-003
1527.490000,2.0970E-003
1527.510000,2.0930E-003
1527.530000,2.1160E-003
1527.550000,2.1270E-003
1527.570000,2.1250E-003
1527.590000,2.1390E-003
1527.610000,2.1490E-003
1527.630000,2.1750E-003
1527.650000,2.1850E-003
1527.670000,2.1870E-003
1527.690000,2.2180E-003
1527.710000,2.2330E-003
1527.730000,2.2300E-003
1527.750000,2.2480E-003
1527.770000,2.2640E-003
1527.790000,2.2790E-003
1527.810000,2.2750E-003
1527.830000,2.2840E-003
1527.850000,2.3080E-003
1527.870000,2.3180E-003
1527.890000,2.3140E-003
1527.910000,2.3270E-003
1527.930000,2.3530E-003
1527.950000,2.3670E-003
1527.970000,2.3750E-003
1527.990000,2.3820E-003
1528.010000,2.4070E-003
1528.030000,2.4090E-003
1528.050000,2.3990E-003
1528.070000,2.4150E-003
1528.090000,2.4320E-003
1528.110000,2.4430E-003
1528.130000,2.4470E-003
1528.150000,2.4600E-003
1528.170000,2.4790E-003
1528.190000,2.4760E-003
1528.210000,2.4790E-003
1528.230000,2.5010E-003
1528.250000,2.5220E-003
1528.270000,2.5200E-003
1528.290000,2.5050E-003
1528.310000,2.5360E-003
1528.330000,2.5390E-003
1528.350000,2.5310E-003
1528.370000,2.5390E-003
1528.390000,2.5560E-003
1528.410000,2.5830E-003
1528.430000,2.5590E-003
1528.450000,2.5700E-003
1528.470000,2.6020E-003
1528.490000,2.6150E-003
1528.510000,2.5940E-003
1528.530000,2.6060E-003
1528.550000,2.6180E-003
1528.570000,2.6300E-003
1528.590000,2.6230E-003
1528.610000,2.6300E-003
1528.630000,2.6600E-003
1528.650000,2.6700E-003
1528.670000,2.6480E-003
1528.690000,2.6730E-003
1528.710000,2.6840E-003
1528.730000,2.6760E-003
1528.750000,2.6830E-003
1528.770000,2.6880E-003
1528.790000,2.7100E-003
1528.810000,2.7080E-003
1528.830000,2.6870E-003
1528.850000,2.7060E-003
1528.870000,2.7120E-003
1528.890000,2.7070E-003
1528.910000,2.6990E-003
1528.930000,2.7260E-003
1528.950000,2.7440E-003
1528.970000,2.7480E-003
1528.990000,2.7170E-003
1529.010000,2.7490E-003
1529.030000,2.7540E-003
1529.050000,2.7180E-003
1529.070000,2.7300E-003
1529.090000,2.7370E-003
1529.110000,2.7550E-003
1529.130000,2.7400E-003
1529.150000,2.7410E-003
1529.170000,2.7660E-003
1529.190000,2.7680E-003
1529.210000,2.7470E-003
1529.230000,2.7640E-003
1529.250000,2.7780E-003
1529.270000,2.7780E-003
1529.290000,2.7630E-003
1529.310000,2.7670E-003
1529.330000,2.7750E-003
1529.350000,2.7750E-003
1529.370000,2.7510E-003
1529.390000,2.7780E-003
1529.410000,2.7870E-003
1529.430000,2.7900E-003
1529.450000,2.7920E-003
1529.470000,2.8160E-003
1529.490000,2.8480E-003
1529.510000,2.8610E-003
1529.530000,2.9170E-003
1529.550000,3.0300E-003
1529.570000,3.2600E-003
1529.590000,3.5110E-003
1529.610000,3.8280E-003
1529.630000,4.7660E-003
1529.650000,8.0440E-003
1529.670000,2.2430E-002
1529.690000,9.5270E-002
1529.710000,3.7640E-001
1529.730000,1.0420E000
1529.750000,1.2440E000
1529.770000,1.2570E000
1529.790000,1.2000E000
1529.810000,9.2260E-001
1529.830000,2.6650E-001
1529.850000,3.3320E-002
1529.870000,1.2040E-002
1529.890000,7.2300E-003
1529.910000,4.4950E-003
1529.930000,3.4120E-003
1529.950000,3.0370E-003
1529.970000,2.9390E-003
1529.990000,2.8910E-003
1530.010000,2.8420E-003
1530.030000,2.8410E-003
1530.050000,2.8350E-003
1530.070000,2.8030E-003
1530.090000,2.7920E-003
1530.110000,2.8010E-003
1530.130000,2.8180E-003
1530.150000,2.8080E-003
1530.170000,2.7930E-003
1530.190000,2.8160E-003
1530.210000,2.8200E-003
1530.230000,2.7950E-003
1530.250000,2.8010E-003
1530.270000,2.8190E-003
1530.290000,2.8170E-003
1530.310000,2.8100E-003
1530.330000,2.8050E-003
1530.350000,2.8200E-003
1530.370000,2.8110E-003
1530.390000,2.7960E-003
1530.410000,2.8070E-003
1530.430000,2.8230E-003
1530.450000,2.8270E-003
1530.470000,2.8190E-003
1530.490000,2.8180E-003
1530.510000,2.8440E-003
1530.530000,2.8310E-003
1530.550000,2.7920E-003
1530.570000,2.8150E-003
