File,WaveData20240530_003.csv,
Date/Time,24-05-30/20:08,

Trace,A
Center Wavelength,1529.77,nm
Span Wavelength,10,nm
Start Wavelength,1524.77,nm
Stop Wavelength,1534.77,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.1,nm
Actual Resolution,0.101,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,501,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1524.77,nm
Stop,1534.77,nm

1528.830000,2.3010E-003
1528.850000,2.3300E-003
1528.870000,2.3400E-003
1528.890000,2.3330E-003
1528.910000,2.3460E-003
1528.930000,2.3600E-003
1528.950000,2.3770E-003
1528.970000,2.3600E-003
1528.990000,2.3680E-003
1529.010000,2.3780E-003
1529.030000,2.3850E-003
1529.050000,2.3630E-003
1529.070000,2.3640E-003
1529.090000,2.3740E-003
1529.110000,2.3760E-003
1529.130000,2.3730E-003
1529.150000,2.3750E-003
1529.170000,2.3980E-003
1529.190000,2.3960E-003
1529.210000,2.3790E-003
1529.230000,2.3910E-003
1529.250000,2.4010E-003
1529.270000,2.3990E-003
1529.290000,2.3960E-003
1529.310000,2.4020E-003
1529.330000,2.4150E-003
1529.350000,2.4080E-003
1529.370000,2.3910E-003
1529.390000,2.4170E-003
1529.410000,2.4200E-003
1529.430000,2.4210E-003
1529.450000,2.4270E-003
1529.470000,2.4390E-003
1529.490000,2.4690E-003
1529.510000,2.4700E-003
1529.530000,2.5030E-003
1529.550000,2.6320E-003
1529.570000,2.8450E-003
1529.590000,3.0560E-003
1529.610000,3.3830E-003
1529.630000,4.3370E-003
1529.650000,8.0850E-003
1529.670000,2.5380E-002
1529.690000,9.9570E-002
1529.710000,3.8190E-001
1529.730000,9.8100E-001
1529.750000,1.1490E000
1529.770000,1.1550E000
1529.790000,1.0980E000
1529.810000,8.4090E-001
1529.830000,2.1890E-001
1529.850000,2.8430E-002
1529.870000,1.0840E-002
1529.890000,6.4880E-003
1529.910000,3.8870E-003
1529.930000,2.9280E-003
1529.950000,2.6250E-003
1529.970000,2.4980E-003
1529.990000,2.4610E-003
1530.010000,2.4630E-003
1530.030000,2.4450E-003
1530.050000,2.4130E-003
1530.070000,2.4090E-003
1530.090000,2.4230E-003
1530.110000,2.4040E-003
1530.130000,2.3860E-003
1530.150000,2.4080E-003
1530.170000,2.4200E-003
1530.190000,2.4310E-003
1530.210000,2.4200E-003
1530.230000,2.4300E-003
1530.250000,2.4240E-003
1530.270000,2.4080E-003
1530.290000,2.4110E-003
1530.310000,2.4140E-003
1530.330000,2.4400E-003
1530.350000,2.4250E-003
1530.370000,2.4120E-003
1530.390000,2.4250E-003
1530.410000,2.4270E-003
1530.430000,2.4150E-003
1530.450000,2.4120E-003
1530.470000,2.4380E-003
1530.490000,2.4400E-003
1530.510000,2.4160E-003
1530.530000,2.4210E-003
1530.550000,2.4280E-003
1530.570000,2.4240E-003
1530.590000,2.4070E-003
1530.610000,2.3910E-003
1530.630000,2.4160E-003
1530.650000,2.4200E-003
1530.670000,2.4090E-003
1530.690000,2.4160E-003
1530.710000,2.4280E-003
1530.730000,2.4110E-003
1530.750000,2.3940E-003
1530.770000,2.3940E-003
1530.790000,2.4070E-003
1530.810000,2.3910E-003
1530.830000,2.3780E-003
1530.850000,2.3900E-003
1530.870000,2.3980E-003
1530.890000,2.3730E-003
1530.910000,2.3750E-003
1530.930000,2.3920E-003
1530.950000,2.4030E-003
1530.970000,2.3970E-003
1530.990000,2.3890E-003
1531.010000,2.4100E-003
1531.030000,2.4030E-003
1531.050000,2.3830E-003
1531.070000,2.3800E-003
1531.090000,2.3830E-003
1531.110000,2.3720E-003
1531.130000,2.3550E-003
1531.150000,2.3600E-003
1531.170000,2.3710E-003
1531.190000,2.3650E-003
1531.210000,2.3510E-003
1531.230000,2.3570E-003
1531.250000,2.3720E-003
1531.270000,2.3610E-003
1531.290000,2.3410E-003
1531.310000,2.3530E-003
1531.330000,2.3610E-003
1531.350000,2.3460E-003
1531.370000,2.3380E-003
1531.390000,2.3560E-003
1531.410000,2.3420E-003
1531.430000,2.3240E-003
1531.450000,2.3170E-003
1531.470000,2.3290E-003
1531.490000,2.3250E-003
1531.510000,2.3020E-003
1531.530000,2.2930E-003
1531.550000,2.2990E-003
1531.570000,2.2890E-003
1531.590000,2.2640E-003
1531.610000,2.2570E-003
1531.630000,2.2690E-003
1531.650000,2.2570E-003
1531.670000,2.2550E-003
1531.690000,2.2600E-003
1531.710000,2.2700E-003
1531.730000,2.2550E-003
1531.750000,2.2380E-003
1531.770000,2.2430E-003
1531.790000,2.2490E-003
1531.810000,2.2290E-003
1531.830000,2.2010E-003
1531.850000,2.2060E-003
1531.870000,2.2030E-003
1531.890000,2.1810E-003
1531.910000,2.1660E-003
1531.930000,2.1700E-003
1531.950000,2.1650E-003
1531.970000,2.1500E-003
1531.990000,2.1490E-003
1532.010000,2.1550E-003
1532.030000,2.1530E-003
1532.050000,2.1390E-003
1532.070000,2.1210E-003
1532.090000,2.1280E-003
1532.110000,2.1190E-003
1532.130000,2.1020E-003
1532.150000,2.1020E-003
1532.170000,2.1030E-003
1532.190000,2.0890E-003
1532.210000,2.0760E-003
1532.230000,2.0590E-003
1532.250000,2.0610E-003
1532.270000,2.0450E-003
1532.290000,2.0170E-003
1532.310000,2.0150E-003
1532.330000,2.0140E-003
1532.350000,1.9840E-003
1532.370000,1.9810E-003
1532.390000,1.9770E-003
1532.410000,1.9810E-003
1532.430000,1.9730E-003
1532.450000,1.9580E-003
1532.470000,1.9680E-003
1532.490000,1.9690E-003
1532.510000,1.9470E-003
1532.530000,1.9460E-003
1532.550000,1.9440E-003
1532.570000,1.9220E-003
1532.590000,1.8960E-003
1532.610000,1.8810E-003
1532.630000,1.8730E-003
1532.650000,1.8590E-003
1532.670000,1.8300E-003
1532.690000,1.8310E-003
1532.710000,1.8340E-003
1532.730000,1.8150E-003
1532.750000,1.8050E-003
1532.770000,1.8040E-003
1532.790000,1.8050E-003
1532.810000,1.7830E-003
1532.830000,1.7740E-003
1532.850000,1.7740E-003
1532.870000,1.7650E-003
1532.890000,1.7420E-003
1532.910000,1.7360E-003
1532.930000,1.7300E-003
1532.950000,1.7190E-003
1532.970000,1.6950E-003
1532.990000,1.6720E-003
1533.010000,1.6670E-003
1533.030000,1.6510E-003
1533.050000,1.6260E-003
1533.070000,1.6080E-003
1533.090000,1.6080E-003
1533.110000,1.5840E-003
1533.130000,1.5760E-003
1533.150000,1.5690E-003
1533.170000,1.5700E-003
1533.190000,1.5580E-003
1533.210000,1.5500E-003
1533.230000,1.5500E-003
1533.250000,1.5460E-003
1533.270000,1.5210E-003
1533.290000,1.5120E-003
1533.310000,1.5000E-003
1533.330000,1.4860E-003
1533.350000,1.4580E-003
1533.370000,1.4300E-003
1533.390000,1.4170E-003
1533.410000,1.3970E-003
1533.430000,1.3720E-003
1533.450000,1.3630E-003
1533.470000,1.3530E-003
1533.490000,1.3410E-003
1533.510000,1.3390E-003
1533.530000,1.3330E-003
1533.550000,1.3320E-003
1533.570000,1.3220E-003
1533.590000,1.3060E-003
1533.610000,1.2970E-003
1533.630000,1.2900E-003
1533.650000,1.2670E-003
1533.670000,1.2470E-003
1533.690000,1.2320E-003
1533.710000,1.2120E-003
1533.730000,1.1860E-003
1533.750000,1.1520E-003
1533.770000,1.1370E-003
1533.790000,1.1160E-003
1533.810000,1.0900E-003
1533.830000,1.0730E-003
1533.850000,1.0680E-003
1533.870000,1.0480E-003
1533.890000,1.0370E-003
1533.910000,1.0260E-003
1533.930000,1.0210E-003
1533.950000,1.0110E-003
1533.970000,9.8960E-004
1533.990000,9.7950E-004
1534.010000,9.6460E-004
1534.030000,9.4040E-004
1534.050000,9.1040E-004
1534.070000,8.8640E-004
1534.090000,8.6140E-004
1534.110000,8.2330E-004
1534.130000,7.9320E-004
1534.150000,7.7520E-004
1534.170000,7.5610E-004
1534.190000,7.3600E-004
1534.210000,7.2310E-004
1534.230000,7.1200E-004
1534.250000,7.0110E-004
1534.270000,6.9000E-004
1534.290000,6.7990E-004
1534.310000,6.7300E-004
1534.330000,6.5890E-004
1534.350000,6.4490E-004
1534.370000,6.2600E-004
1534.390000,6.0990E-004
1534.410000,5.8390E-004
1534.430000,5.6080E-004
1534.450000,5.3670E-004
1534.470000,5.1870E-004
1534.490000,4.9670E-004
1534.510000,4.7260E-004
1534.530000,4.5580E-004
1534.550000,4.4170E-004
1534.570000,4.2550E-004
1534.590000,4.1230E-004
1534.610000,4.0480E-004
1534.630000,3.9620E-004
1534.650000,3.8570E-004
1534.670000,3.7690E-004
1534.690000,3.6920E-004
1534.710000,3.5910E-004
1534.730000,3.4520E-004
1534.750000,3.3160E-004
1534.770000,3.1840E-004
