Initial,Final,Wavelength (nm),Wavelength error (nm),Wavelength (nm),Matrix element (a.u.),Matrix el. error (a.u.),Matrix element (a.u.),Reference,DOI,Reference 2,DOI 2
8s1/2,10p3/2,2254.0151,0.0006,2254.0151(6),1.2409925,0.0284072,1.241(28),,,,
8s1/2,11p1/2,1966.0759,0,1966.0759,0.3768955,0.0080724,0.3769(81),,,,
8s1/2,11p3/2,1959.3726,0.0012,1959.373(1),0.7259333,0.0175982,0.726(18),,,,
8s1/2,12p1/2,1806.5927,0,1806.5927,0.2495402,0.0060616,0.2495(61),,,,
8s1/2,12p3/2,1802.7127,0.001,1802.713(1),0.49558,0.0103632,0.496(10),,,,
8s1/2,13p1/2,1709.8346,0,1709.8346,0.1818748,0.0047732,0.1819(48),,,,
8s1/2,13p3/2,1707.3504,0.0009,1707.3504(9),0.3635626,0.0078331,0.3636(78),,,,
8s1/2,14p1/2,1645.8948,0,1645.8948,0.1408848,0.0041676,0.1409(42),,,,
8s1/2,14p3/2,1644.1923,0.0008,1644.1923(8),0.2860001,0.0063699,0.2860(64),,,,
9s1/2,6p1/2,635.6311,0,635.6311,0.5448208,0.0056699,0.5448(57),,,,
9s1/2,6p3/2,658.8329,0,658.8329,0.7655814,0.008801,0.7656(88),,,,
9s1/2,7p1/2,1943.5157,0.0076,1943.516(8),1.9590677,0.0179181,1.959(18),,,,
9s1/2,7p3/2,2014.3966,0.0106,2014.40(1),2.7273306,0.0277719,2.727(28),,,,
9s1/2,8p1/2,8320.663,0.0035,8320.663(3),16.058222,0.036592,16.058(37),,,,
9s1/2,8p3/2,8935.3152,0.2396,8935.3(2),24.125594,0.05011,24.126(50),,,,
9s1/2,9p1/2,13767.7726,0.0134,13767.77(1),27.101503,0.080549,27.102(81),,,,
9s1/2,9p3/2,12969.9079,0.0203,12969.91(2),37.33135,0.132119,37.33(13),,,,
9s1/2,10p1/2,5506.1543,0.0021,5506.154(2),2.7352154,0.0537029,2.735(54),,,,
9s1/2,10p3/2,5425.8942,0.0036,5425.894(4),4.5786304,0.0698098,4.579(70),,,,
9s1/2,11p1/2,4011.617,0.0008,4011.6170(8),1.0684038,0.0197155,1.068(20),,,,
9s1/2,11p3/2,3983.8077,0.0048,3983.808(5),1.9134663,0.0273541,1.913(27),,,,
9s1/2,12p1/2,3399.3154,0.0006,3399.3154(6),0.5997596,0.0104352,0.600(10),,,,
9s1/2,12p3/2,3385.6045,0.0035,3385.604(3),1.1284969,0.0212112,1.128(21),,,,
9s1/2,13p1/2,3072.1914,0.0005,3072.1914(5),0.4032353,0.0100035,0.403(10),,,,
9s1/2,13p3/2,3064.1805,0.0029,3064.181(3),0.7612309,0.0097674,0.7612(98),,,,
9s1/2,14p1/2,2871.7402,0.0004,2871.7402(4),0.2945385,0.0079379,0.2945(79),,,,
9s1/2,14p3/2,2866.5613,0.0025,2866.561(2),0.5661787,0.0070316,0.5662(70),,,,
10s1/2,6p1/2,584.0453,0,584.0453,0.3613391,0.0037618,0.3613(38),,,,
10s1/2,6p3/2,603.576,0,603.576,0.5052188,0.0059638,0.5052(60),,,,
10s1/2,7p1/2,1530.2498,0.0047,1530.250(5),0.999146,0.0094502,0.9991(95),,,,
10s1/2,7p3/2,1573.8535,0.0064,1573.853(6),1.3707475,0.0151098,1.371(15),,,,
10s1/2,8p1/2,3858.9279,0.0007,3858.9279(7),3.1524529,0.0281277,3.152(28),,,,
10s1/2,8p3/2,3986.0954,0.0477,3986.10(5),4.3366338,0.0434936,4.337(43),,,,
10s1/2,9p1/2,15077.6779,0.0161,15077.68(2),24.500265,0.053033,24.500(53),,,,
10s1/2,9p3/2,16166.8287,0.0316,16166.83(3),36.691755,0.080277,36.692(80),,,,
10s1/2,10p1/2,23442.0639,0.0389,23442.06(4),38.313256,0.103444,38.31(10),,,,
10s1/2,10p3/2,22053.2356,0.0588,22053.24(6),52.664826,0.174212,52.66(17),,,,
10s1/2,11p1/2,9064.5855,0.0042,9064.586(4),3.9514808,0.0714401,3.951(71),,,,
10s1/2,11p3/2,8923.8283,0.0242,8923.83(2),6.538835,0.0925615,6.539(93),,,,
10s1/2,12p1/2,6442.4571,0.0021,6442.457(2),1.5529059,0.0259614,1.553(26),,,,
10s1/2,12p3/2,6393.3865,0.0124,6393.39(1),2.7319503,0.0358891,2.732(36),,,,
10s1/2,13p1/2,5360.667,0.0015,5360.667(1),0.8736595,0.013605,0.874(14),,,,
10s1/2,13p3/2,5336.3237,0.0087,5336.324(9),1.6052083,0.0275608,1.605(28),,,,
10s1/2,14p1/2,4778.6457,0.0012,4778.646(1),0.5803586,0.0121429,0.580(12),,,,
10s1/2,14p3/2,4764.3225,0.0069,4764.323(7),1.0823976,0.012589,1.082(13),,,,
11s1/2,6p1/2,556.9956,0,556.9956,0.2655941,0.0027982,0.2656(28),,,,
11s1/2,6p3/2,574.7317,0,574.7317,0.370403,0.0044363,0.3704(44),,,,
11s1/2,7p1/2,1357.5185,0.0037,1357.519(4),0.6504166,0.0062423,0.6504(62),,,,
11s1/2,7p3/2,1391.7239,0.005,1391.724(5),0.8873112,0.009972,0.887(10),,,,
11s1/2,8p1/2,2921.5039,0.0002,2921.5039(2),1.5625174,0.0142621,1.563(14),,,,
11s1/2,8p3/2,2993.813,0.0269,2993.81(3),2.1148624,0.0230972,2.115(23),,,,
11s1/2,9p1/2,6690.1563,0.0024,6690.156(2),4.6053129,0.0407668,4.605(41),,,,
11s1/2,9p3/2,6896.3054,0.0053,6896.305(5),6.2882028,0.0623161,6.288(62),,,,
11s1/2,10p1/2,24696.3766,0.0328,24696.38(3),34.644129,0.072445,34.644(72),,,,
11s1/2,10p3/2,26451.3107,0.0782,26451.31(8),51.773395,0.11932,51.77(12),,,,
11s1/2,11p1/2,36806.2347,0.0303,36806.23(3),51.421079,0.128362,51.42(13),,,,
11s1/2,11p3/2,34590.8251,0.3598,34590.8(4),70.576625,0.221116,70.58(22),,,,
11s1/2,12p1/2,13875.37,0.0043,13875.370(4),5.3741229,0.0918909,5.374(92),,,,
11s1/2,12p3/2,13649.7342,0.056,13649.73(6),8.8236929,0.1187704,8.82(12),,,,
11s1/2,13p1/2,9671.7579,0.0021,9671.758(2),2.1182362,0.0331066,2.118(33),,,,
11s1/2,13p3/2,9592.8046,0.0277,9592.80(3),3.681636,0.045642,3.682(46),,,,
11s1/2,14p1/2,7929.3225,0.0014,7929.322(1),1.1921779,0.0172077,1.192(17),,,,
11s1/2,14p3/2,7889.9634,0.0187,7889.96(2),2.1559302,0.0347619,2.156(35),,,,
12s1/2,6p1/2,540.8172,0,540.8172,0.207276,0.0022027,0.2073(22),,,,
12s1/2,6p3/2,557.5225,0,557.5225,0.2886379,0.0034925,0.2886(35),,,,
12s1/2,7p1/2,1265.2694,0.0032,1265.269(3),0.4741238,0.0045778,0.4741(46),,,,
12s1/2,7p3/2,1294.9332,0.0044,1294.933(4),0.6449687,0.0073138,0.6450(73),,,,
12s1/2,8p1/2,2525.273,0.0001,2525.2730(1),1.0023462,0.0092909,1.0023(93),,,,
12s1/2,8p3/2,2579.1175,0.02,2579.12(2),1.3481747,0.0150225,1.348(15),,,,
12s1/2,9p1/2,4921.728,0.0013,4921.728(1),2.2357347,0.0198641,2.236(20),,,,
12s1/2,9p3/2,5032.3958,0.0028,5032.396(3),2.9998406,0.0325687,3.000(33),,,,
12s1/2,10p1/2,10615.8127,0.0061,10615.813(6),6.3172382,0.055788,6.317(56),,,,
12s1/2,10p3/2,10927.4522,0.0134,10927.45(1),8.5818981,0.0842533,8.582(84),,,,
12s1/2,11p1/2,37681.7864,0.0318,37681.79(3),46.492073,0.094856,46.492(95),,,,
12s1/2,11p3/2,40325.9466,0.4889,40325.9(5),69.37416,0.167019,69.37(17),,,,
12s1/2,12p1/2,54457.8665,0.0663,54457.87(7),66.428324,0.155254,66.43(16),,,,
12s1/2,12p3/2,51139.987,0.7863,51140.0(8),91.070752,0.273368,91.07(27),,,,
12s1/2,13p1/2,20126.1953,0.0091,20126.195(9),7.0031438,0.1150471,7.00(12),,,,
12s1/2,13p3/2,19787.2984,0.1177,19787.3(1),11.432819,0.148432,11.43(15),,,,
12s1/2,14p1/2,13810.848,0.0043,13810.848(4),2.7641845,0.0411536,2.764(41),,,,
12s1/2,14p3/2,13691.8836,0.0564,13691.88(6),4.7626477,0.0566075,4.763(57),,,,
13s1/2,6p1/2,530.2924,0,530.2924,0.1682726,0.0018008,0.1683(18),,,,
13s1/2,6p3/2,546.3442,0,546.3442,0.2340982,0.0028554,0.2341(29),,,,
13s1/2,7p1/2,1209.1255,0.0029,1209.125(3),0.368786,0.0035754,0.3688(36),,,,
13s1/2,7p3/2,1236.187,0.004,1236.187(4),0.5008352,0.0057137,0.5008(57),,,,
